,Date,Town,State/Province,Latitude,Longitude,Number,Image
1,11/22/12,Juarez,NL,25.7,-100.1,62,
2,11/08/12,"Paradero ""Gallitos""",TAM,23.7,-99.1,69,
3,11/08/12,Cerca de las Cabañas La Florida,TAM,23.7,-99.1,19,
4,11/08/12,Miqui-Bust Ej. Gabino Vazquez,TAM,23.7,-99.1,5,
5,11/08/12,cerca del Ejido Altamira Miquihuana,TAM,23.7,-99.1,7,
6,11/08/12,Carretera Miquihuana entronque,TAM,23.7,-99.1,2,
7,11/07/12,"Ej. Padron de Juarez, Jaumave",TAM,23.7,-99.1,8,
8,11/07/12,Camino al Cielo entrando por Jaumav,TAM,23.7,-99.1,4,
9,11/07/12,Ejido El Duraznillo,TAM,23.7,-99.1,3,
10,11/07/12,Rancho El Coyolar,TAM,23.7,-99.1,2,
11,11/07/12,Paso Real de Guerrero,TAM,23.7,-99.1,840,
12,11/07/12,Ejido 6 de Enero,TAM,23.7,-99.1,14,
13,11/07/12,Rancho Las Cruzitas,TAM,23.7,-99.1,3,
14,11/07/12,"El Contadero, Ocampo",TAM,23.7,-99.1,6,
15,11/07/12,Carretera Rumbo a Ocampo,TAM,23.7,-99.1,120,
16,11/07/12,Rio Verde,SLP,21.9,-100,60,
17,11/06/12,Soquel,CA,37,-121.9,300,
18,11/01/12,Mineola,TX,32.7,-95.5,6,
19,10/31/12,Saltillo,COA,25.4,-101,28,
20,10/30/12,Soquel,CA,37,-121.9,50,
21,10/30/12,Saltillo,COA,25.4,-101,77,
22,10/30/12,Saltillo,COA,25.4,-101,197,
23,10/29/12,Los Pinolillos,NL,25.6,-100.1,147,
24,10/29/12,Santiago,NL,25.4,-99.8,28,
25,10/29/12,San Pedro Garza Garcia,NL,25.7,-100.3,501,
26,10/29/12,San Nicolas de los Garza,NL,25.8,-100.3,1,
27,10/28/12,Monterrey,NL,25.8,-100.4,50,
28,10/28/12,Port Lavaca,TX,28.5,-96.7,60,
29,10/28/12,Santiago,NL,25.4,-99.8,49,
30,10/28/12,Angangueo,MIC,19.6,-100.3,33,
31,10/28/12,Monterrey,NL,25.7,-100.3,100,
32,10/28/12,Monterrey,NL,25.7,-100.3,53,
33,10/27/12,Fort Morgan,AL,30.2,-88,500,
34,10/27/12,QuerÃ©taro,QUE,20.6,-100.4,25,
35,10/26/12,Fairhope,AL,30.5,-87.9,1000,
36,10/26/12,AcuÃ±a,COA,29,-101,65,
37,10/25/12,Cape May Point,NJ,38.9,-74.9,101,
38,10/24/12,Houston,TX,29.8,-95.4,30,
39,10/24/12,Cape May Point,NJ,38.9,-74.9,62,
40,10/24/12,Brandon,MS,32.3,-89.9,12,
