state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,029,0032,44201,2,29.51509,-98.620166,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6184,100.0,Y,244,245,0,0,32,32,Certified,0.050242,0.019202,0.111,2002-09-12 11:00,0.11,2002-06-24 11:00,0.107,2002-06-17 11:00,0.104,2002-06-18 09:00,,,,,0.107,0.1,0.087,0.076,0.061,0.048,0.04,San Antonio Northwest,6655 Bluebird Lane,Texas,Bexar,Leon Valley,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,029,0052,44201,1,29.632058,-98.564936,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5828,92.0,Y,226,245,0,0,21,21,Certified,0.046235,0.017934,0.1,2002-06-24 11:00,0.097,2002-09-13 10:00,0.096,2002-06-23 10:00,0.095,2002-06-18 09:00,,,,,0.096,0.091,0.08,0.07,0.057,0.046,0.037,Camp Bullis,F Range (1000Yd marker off Wilderness Trail),Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,029,0059,44201,1,29.275381,-98.311692,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6106,98.0,Y,256,260,0,0,17,17,Certified,0.044043,0.015975,0.09,2002-09-13 10:00,0.086,2002-09-12 10:00,0.082,2002-06-18 12:00,0.081,2002-06-17 11:00,,,,,0.082,0.078,0.073,0.067,0.055,0.045,0.035,Calaveras Lake,14620 Laguna Rd,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2022-01-20
48,061,0006,44201,1,25.892518,-97.49383,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6114,97.0,Y,355,365,0,0,1,1,Certified,0.032831,0.012261,0.082,2002-09-13 11:00,0.067,2002-08-30 10:00,0.067,2002-09-22 08:00,0.065,2002-10-13 10:00,,,,,0.065,0.06,0.053,0.05,0.042,0.031,0.018,Brownsville,344 Porter Drive,Texas,Cameron,Brownsville,15180,"Brownsville-Harlingen, TX",2022-01-20
48,085,0005,44201,1,33.1324,-96.786419,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,5932,99.0,Y,242,245,0,0,27,27,Certified,0.049198,0.016761,0.1,2002-09-13 11:00,0.099,2002-09-14 11:00,0.088,2002-09-27 12:00,0.086,2002-09-28 10:00,,,,,0.088,0.085,0.079,0.071,0.062,0.048,0.036,Frisco,6590 Hillcrest Road,Texas,Collin,Frisco,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,085,0010,44201,1,33.355833,-96.551111,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6097,100.0,Y,244,245,0,0,17,17,Certified,0.04627,0.014815,0.09,2002-09-13 10:00,0.088,2002-07-25 11:00,0.086,2002-09-14 11:00,0.078,2002-06-23 09:00,,,,,0.086,0.077,0.072,0.066,0.057,0.047,0.036,ANNA,817 N. TEXAS HIGHWAY 5,Texas,Collin,Not in a city,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0069,44201,3,32.820061,-96.860117,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6121,98.0,Y,239,245,0,0,35,35,Certified,0.046682,0.020664,0.118,2002-08-09 11:00,0.11,2002-06-23 10:00,0.095,2002-06-24 10:00,0.091,2002-07-11 11:00,,,,,0.095,0.09,0.084,0.075,0.06,0.044,0.032,Dallas Hinton,1415 Hinton Street,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0075,44201,1,32.919206,-96.808498,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6112,99.0,Y,242,245,0,0,18,18,Certified,0.044025,0.017519,0.103,2002-08-09 11:00,0.095,2002-06-23 10:00,0.088,2002-09-13 10:00,0.088,2002-09-14 11:00,,,,,0.088,0.083,0.074,0.067,0.057,0.042,0.031,Dallas North #2,12532 1/2 Nuestra Drive,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,0087,44201,1,32.676451,-96.87206,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2002,Parts per million,No Events,5686,86.0,Y,210,245,0,0,22,22,Certified,0.044638,0.019061,0.098,2002-08-09 11:00,0.091,2002-06-23 10:00,0.087,2002-08-07 10:00,0.086,2002-06-24 10:00,,,,,0.087,0.084,0.08,0.071,0.058,0.043,0.033,Dallas Redbird Airport Executive,3277 W Redbird Lane,Texas,Dallas,Dallas,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
48,113,3003,44201,1,32.769379,-96.546299,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2002,Parts per million,No Events,6161,99.0,Y,242,245,0,0,19,19,Certified,0.046058,0.016315,0.095,2002-06-23 10:00,0.088,2002-09-14 11:00,0.087,2002-08-09 10:00,0.084,2002-06-22 10:00,,,,,0.087,0.081,0.074,0.067,0.058,0.045,0.036,SUNNYVALE LONG CREEK,405 LONG CREEK RD,Texas,Dallas,Not in a city,19100,"Dallas-Fort Worth-Arlington, TX",2022-01-20
